Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,298,88.4,547471596,48103,22977059,77,202977396,2705714,1201620,210186679,1998080214,776229988,56,23381,58,1428951,6871,2172977,528849
Happier,Happier - Single,Marshmello,8/16/2018,299,87.9,2143821605,220298,53040597,16,1512765689,18732541,1228334,96907387,809336882,2340278160,209,390418,73,375500033,584098,,10193237
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,301,87.7,462284590,31617,36745154,84,110545167,325395,911100,169601790,1947539058,184602581,41,13786,39,14745087,13732,233125,1075943
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,300,87.7,509231024,69486,142546135,79,40223001,328421,,42,312,298775920,145,396880,91,29557806,1437,1308074,3375037
Butter,Butter,BTS,5/21/2021,302,87.5,1257974135,90160,40533320,70,1175755478,27744989,2098050,1059257365,8120632702,3244619218,221,181961,68,23569614,50520,,4173408
Cinderella,WE DON'T TRUST YOU,Future,3/22/2024,304,87.2,124945674,21581,41881780,,11346227,139956,,,,421455,24,298,4,4388108,1644,3756755,369853
Calma - Remix,Calma (Remix),Pedro Capï¿,10/5/2018,303,87.2,1153753974,118846,37335160,67,2890512374,13572964,1847640,11391899,124640416,374564231,152,57934,2,168274012,88107,,14113990
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,5/6/2016,305,87.1,1733302434,191065,88781556,72,2322229374,9042088,2563738,26503434,153590873,319751277,459,364043,116,605593706,1206969,,15828266
Say So,Hot Pink,Doja Cat,11/7/2019,306,87,1199270601,161574,48493190,69,879051516,10069968,8992493,687678447,5494376938,745421859,295,1309,72,110184400,176348,,10741166
Ransom,Ransom,Lil Tecca,5/22/2019,307,86.8,1355971796,198992,52412236,77,749040183,8156272,501905,79556873,532109309,51588391,99,26259,25,88012413,229716,162569561,2972685
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,308,86.8,1136504636,152157,60605828,81,154143867,2307573,515601,215294962,1306972284,89389771,65,8306,15,8674577,16784,30568973,1892741
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,309,86.7,60240739,4611,98570633,84,3322959,65840,,107100,843600,235974273,82,734,79,5006041,2349,521223,156886
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/2016,310,86.6,1528107667,170648,55710071,73,3187869227,16180445,2416274,61034077,595697842,1722812433,188,174095,38,231249781,177271,35600592,23696980
Danza Kuduro - Cover,A collection of Western music that will get you excited,MUSIC LAB JPN,11/15/2023,355,86.6,1627429837,12,163,,,,,,,,,,,,,,
Cool,JnD Mix,,5/25/2024,311,86.5,,,,,,,,,,,,,,,,,8624577
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,8/11/2023,312,86.5,214598468,66613,6363839,74,145094088,2568642,8397,1367633,35469076,733344471,21,5633,12,93004856,63249,,736604
BESO,RR,ROSALï¿½,3/24/2023,313,86.3,647201484,81393,46208549,74,186060248,1524559,946380,131649631,1792090770,28857204,117,106591,65,20360773,4829,113549,1589528
MTG QUEM Nï¿½ï¿½O QUER SO,MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si,DJ TOPO,5/10/2024,315,86.1,51198446,3022,40425173,80,14990394,244589,245300,,,,8,48,20,,,,128880
Que Vuelvas,Que Vuelvas - Single,Carin Leon,12/9/2022,314,86.1,684853927,42893,25716699,73,547937715,1638787,1100030,91969060,1162186778,4235395,45,14160,18,100368438,17421,,1654594
Pretty Green Eyes (Sunset Ibiza Mix),Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,6/14/2024,316,85.9,,5,3277306,,,,,,,,1,2,10,,,553000,
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/17/2022,318,85.8,665519026,152193,67322941,68,187947945,2379515,1016531,606205784,5516142056,169512700,73,4066,93,30928677,53530,,3245670
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,317,85.8,785016247,210669,32702397,70,654629596,5578060,1826673,141952709,976662212,56134858,100,41,4,140629473,71183,73950933,3516050
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,8/25/2017,319,85.6,1615274494,203617,35375009,79,515463883,6471385,59900,19736442,100843174,4528014,37,1088,5,106473506,116371,319835943,2026025
Rich Flex,Her Loss,Drake,11/4/2022,320,85.5,812274757,185579,57165405,73,86053276,651228,317033,223409952,1834709832,41553113,116,644,54,61423121,33488,,2300268
Standing Next to You,GOLDEN,Jung Kook,11/3/2023,321,85.5,675865902,23181,58344509,85,130563278,4183405,308567,111187858,628043802,2554205866,37,62294,24,3073921,1442,,1220942
Congratulations,Congratulations,Post Malone,11/4/2016,322,85.3,1984802459,246374,81736432,75,1790918527,11063672,955053,99916455,811673866,172345162,143,32009,26,389602011,364648,155990695,5233589
Do It To It,Do It To It,ACRAZE,8/20/2021,324,85.2,805019111,238887,94531613,73,117678524,1540284,2600179,673283810,10369065597,116322631,192,217739,40,51038784,9188,,9653748
Tusa,Tusa,KAROL G,11/7/2019,323,85.2,1497511486,157185,59187880,68,1816772749,12498062,1636079,39086388,414336041,458694827,232,150990,83,104611041,127399,,7663807
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,325,84.8,1119350842,272485,46626350,71,767399825,6283245,1312576,203661245,1505078331,68109096,206,243703,24,218042360,64927,,4546156
Good Good,Good Good,USHER,8/4/2023,326,84.7,53825007,14742,9204769,59,83224436,607267,88131,6358930,89022964,250252884,22,343553,34,58537921,22294,2154788,1896814
Austin,Austin - Single,Dasha,11/17/2023,327,84.6,273023490,17900,169190514,87,28916868,303426,744600,187163600,2850135008,448423212,99,83189,130,22107065,4925,337191,1521087
Search & Rescue,Search & Rescue,Drake,4/7/2023,329,84.6,337858357,96709,21646810,69,40938953,336819,106645,21329637,192701225,235007162,89,119741,13,44542627,18653,14784764,1383076
TULUM,TULUM,Peso Pluma,6/28/2023,328,84.6,390182196,36912,13688250,74,253468644,1103093,1096644,84875226,1391833232,51539597,44,20963,38,23438854,7268,2169379,964306
Shivers,#NAME?,Ed Sheeran,1/1/2020,330,84.4,1568058093,188855,77441110,77,683237554,4641763,389848,88427778,1292107474,4334606324,263,925333,112,290859819,66708,,10179048
Coup du marteau,Coup du marteau,Tam Sir,12/8/2023,331,84.3,24933240,4241,2378348,,79219504,463646,1800000,44679343,687729852,641603777,10,2264,1,,,,1245247
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,10/14/2020,332,84.1,90383224,24868,4716437,45,29836991,627377,16892400,462872272,4082175492,1067,20,470,3,6283417,26512,10556085,759001
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,4/28/2022,333,84,18296870,1967,400655,,108892433,699306,9893499,340731924,6334463728,15197,1,295,,,,,24326
Sunroof,Sunroof,Nicky Youre,12/3/2021,334,83.8,890752779,104690,38444734,79,169046580,1678946,621,47472,5807175,2854434834,149,849471,9,110963977,82293,771581,2488830
Watching Yourself Being Born,Neuroscape,Blush Response,4/4/2023,335,83.7,,13,191,,918283411,1480549,,,,,,3,,,,,
Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,336,83.3,373898429,53671,24287193,72,314467618,1775081,782114,148537760,1715842070,670200525,42,29417,28,79804,197,,776352
Taste (feat. Offset),Taste (feat. Offset),Tyga,5/16/2018,338,83.1,1358105253,217189,31143734,69,1875005008,10236903,3833884,145706030,1981780200,526087000,67,46534,33,476875275,185157,,7997160
MAMIII,MAMIII,Becky G,2/10/2022,337,83.1,911797058,80109,53928265,74,628307968,4924401,1741513,267846050,3410691967,36403252,125,165243,83,112920660,34289,190971,3561445
Until I Found You,Until I Found You,Stephen Sanchez,9/1/2021,339,83,1020452066,169696,52678003,73,385820349,4710732,796783,391999548,3320885451,3540186470,75,269792,42,38544039,26435,8598138,11693340
exes,exes,Tate McRae,11/17/2023,340,83,323100055,27272,33467589,,33501338,405965,319600,56188128,730969180,1646779233,67,131125,57,24536746,8494,,697530
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,8/16/2019,341,82.7,27747363,9067,1365840,41,136028794,1352520,23206073,803136063,11797196743,11609501,12,7746,10,,,,348103
Stick Season,Stick Season,Noah Kahan,7/8/2022,342,82.6,965865213,113676,169323128,86,89431811,659870,82855,29406696,275016537,315685769,148,319240,103,18405146,38276,8435767,3365903
Need To Know,Need To Know,Doja Cat,6/11/2021,344,82.5,1178076856,164743,42269625,71,507790705,6169368,734932,365523934,2422643413,2099921417,195,439065,28,90615307,51300,,5746726
kompa pasiï¿½,kompa pasiï¿½,ıııııııııı,4/12/2024,345,82.5,29458027,2602,6588032,78,8529869,225779,439200,8820761,87680200,154517,9,132,,,,365682,2085595
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,10/20/2022,343,82.5,394381902,22919,12262540,73,805683907,2076505,998663,48461089,847830213,14566260,24,25712,15,14271775,11420,,1353588
Last Last,Last Last,Burna Boy,5/12/2022,346,82.4,410722289,130203,16877163,68,332556651,1906835,260214,93902403,1049244970,306416991,203,214958,94,15787293,18736,16995425,4840000
Ngopi Maszeh,Ngopi Maszeh,Happy Asmara,1/29/2023,347,82.2,8034198,756,174523,,32806412,130043,6698664,76927003,1953589891,,,27,,,,,
500lbs,500lbs,Lil Tecca,7/21/2023,349,82.1,350584176,79228,26972646,68,32342535,452857,638,1056379,11627298,277256864,19,1239,19,2538334,6256,18379949,776386
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,9/3/2021,348,82.1,732652170,217189,35225322,72,247680355,2184804,264300,95344150,711702658,379789269,67,3965,26,96181566,75646,43754739,2095961
BILLIE EILISH.,BILLIE EILISH.,Armani White,5/19/2022,350,82,359416593,91114,29730236,64,116400996,2127918,4530098,885538360,10488403602,74794888,40,169548,52,29260633,18576,24428,3310069
ıııııııııııı,ıııııııııııı,YOASOBI,4/12/2023,351,81.8,356559943,47785,12078942,69,490408465,4295510,504800,162429655,1871819472,1227624888,59,1883,12,540614,419,,804248
Lï¿½ï¿½ï¿½AMOUR DE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,352,81.6,84575291,5186,51449432,85,11080040,346121,137,,,3541236,95,271,18,183562,231,749185,214747
Thinkinï¿½ï¿½ï¿½ B,One Thing At A Time,Morgan Wallen,3/3/2023,353,81.5,406319778,42283,16439412,80,84066193,368256,117408,7626726,99492470,606650627,50,262596,19,181953005,27501,7289828,1185776
Madonna,Madonna - Single,Natanael Cano,3/8/2024,354,81.3,272838329,7265,54631978,85,105675950,806116,,150848,2099500,126527485,23,572,8,1544866,966,,572478
deja vu,deja vu,Olivia Rodrigo,4/1/2021,355,81.3,1606975517,172376,64346126,80,638102695,7847239,1210842,534102475,3758269019,2265662637,206,279408,49,62922329,74501,,3545397
6. A.M.,Motion is Emotion,Azul,10/7/2022,356,81.1,1186,5,30,,1231300374,3158558,,,,248653921,,1,,,,,
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2/15/2024,357,81,162165853,10306,87901542,85,93106341,1394962,,,,1916097608,66,46348,69,11091776,1611,179,775583
Sequï¿½ï¿½ncia da,Sequï¿½ï¿½ncia da,TRASHXRL,5/8/2023,358,80.8,148630357,22962,19586200,33,61652249,723007,3757654,145382546,2299851479,1136738,3,1,5,42656,,5607466,423570
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,359,80.8,100838516,5188,50795354,87,6390843,134606,253,,,934654,76,181,39,294656,163,1075841,124583
Doja,Doja,Central Cee,7/21/2022,360,80.5,676519766,192241,57503569,74,201326163,3061387,492679,411670410,3919404141,279634941,66,58802,42,1285099,3136,,2415167
Kill This Love,Kill This Love,BLACKPINK,4/4/2019,361,80.4,820840650,63934,18843601,67,2920436498,40314889,1738066,182304244,1616215054,269811977,67,9022,24,11369224,57874,,2892074
Lan,Lan - Single,Zeynep Bastï¿½,3/8/2024,362,80.3,81246715,4073,6852706,72,146249969,590112,,,,88179577,11,5899,,,,,444123
"Good Luck, Babe!Good Luck, Babe!",Chappell Roan,4/5/2024,363,80.2,176290078,13470,157502211,87,6018651,140562,61889,45660069,263955300,17447092,99,16680,122,572090,1327,479188,485935
Sweet but Psycho,Sweet but Psycho,Ava Max,8/17/2018,365,80.1,1668741024,174052,42966784,76,1254501233,9554049,5371543,206785018,2733847243,2008056455,192,368635,44,189191184,253101,44121,13479680
Hey Mor,Hey Mor,Ozuna,10/6/2022,364,80.1,986132265,97956,68983561,76,383748675,1303919,793798,154969251,2145975300,45000407,79,65798,78,27759302,3605,,1428200
Ferrari,Ferrari,James Hype,3/15/2022,366,80.1,626010147,185422,78359363,74,202193289,1277287,88909,20233025,368044894,877635000,132,253244,44,2598595,2953,6916408,6257313
Falling,Falling,Trevor Daniel,10/5/2018,367,80,1606023895,225643,32822629,71,1151842584,15653870,6047796,914937622,8742744684,529839674,115,168415,4,212305894,141079,2388,12373665
positions,positions,Ariana Grande,10/23/2020,368,80,1432830108,139215,53934095,74,778340255,10401273,1268910,254276140,1984520688,1958337600,283,599336,50,90015866,39920,,3299253
Where Are You Now,Where Are You Now,Lost Frequencies,7/30/2021,370,79.9,1223329465,211823,114773091,74,214359669,1467163,308286,25459624,413908070,1857452555,256,391895,51,80579628,6731,,8462590
Amor Prohibido - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,369,79.9,302177116,34,224573,,,,,,,,6,,15,92486209,42531,,
Save Your Tears,After Hours,The Weeknd,3/20/2020,371,79.9,1995511952,304456,63126296,80,365257705,2699016,415050,137726738,1154403769,327,285,3607,27,283725931,79728,22025427,15776388
Happier Than Ever,Happier Than Ever,Billie Eilish,7/30/2021,372,79.9,1321878145,189487,51228803,78,530778926,8470860,570442,358879639,2295813182,1152917073,199,82181,50,9900535,29358,15220155,4647622
This Is What You Came For,This Is What You Came For,Calvin Harris,4/29/2016,373,79.8,1746790923,204049,117171040,79,3084719501,13411706,2176881,17649503,137718139,276177209,356,119588,86,595393905,143591,1056564,13444054
China,China,Anuel AA,7/19/2019,376,79.5,1178076574,137559,58323638,68,2324673715,9851235,386741,15484682,146747450,300548195,182,36105,63,97138846,31755,2130789,5865011
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,1/1/2013,374,79.5,759374819,64239,27371339,69,4168791151,11589558,837092,81957005,966469545,93296828,151,5863,45,273693240,3302248,,2515774
Moonlight,?,XXXTENTACION,3/16/2018,375,79.5,1885431727,241112,41330643,77,1607650475,24201486,275009,36219008,300772720,160456727,66,16859,15,138948996,311466,80552486,3644968
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,377,79.4,250080413,2711,4839848,,,,,,,,137,19724,19,,,,
Smart,EASY,LE SSERAFIM,2/19/2024,379,79.3,159256689,6829,20291074,74,130698280,1872592,170200,234770546,2059824051,495137217,13,915,,264369,676,556351,234077
That's What I Like,24K Magic,Bruno Mars,11/17/2016,378,79.3,2075459887,209632,84707015,80,2696139998,17077084,604526,100008149,704916578,408244698,142,57222,44,666715599,500761,,
Commando,Commando - Single,Mavokali,9/28/2022,380,78.6,21667023,9105,1266295,,48246851,435329,7444200,251304348,5361829317,,2,1544,,5089,,,1561153
The Business,The Business,Tiï¿½ï¿,9/16/2020,381,78.3,1191635193,255697,78272032,70,539885283,4027102,777092,73955191,1435552956,462516169,362,277419,41,108360279,53852,140470,9642311
Ride It,Ride It,Regard,7/26/2019,382,78.2,1349427877,220002,106549747,76,564022753,3884141,3646762,362781709,5118900832,49285616,357,386774,65,182505519,51884,19580257,16283609
Mwaki,SURRENDER,Zerb,9/27/2023,383,77.9,121234000,36468,76765385,42,78160610,806269,118600,20204903,395342206,303381336,48,90542,34,1553861,760,1832441,4890793
BICHOTA,BICHOTA,KAROL G,10/23/2020,385,77.8,868091483,86379,31261057,64,1591945481,7916193,1586770,101362709,1153849236,172943996,133,36028,33,70065986,48232,,1740278
Renklensin,Renklensin - Single,Reynmen,4/19/2024,384,77.8,54940563,2630,6589111,75,77507185,547375,,,,11444478,9,3016,,,,,197952
Bad idea,Missing,Kurochuu,6/9/2024,387,77.6,86203995,2,2190,1,,,,,,,,,,,,,
writhe,writhe,daine,2/21/2023,386,77.6,,163,6893,15,915870602,2980959,12,8960,91112,26629501,1,20,,81,,,
The Hills,The Hills,The Weeknd,5/27/2015,388,77.5,2306740926,333310,91689799,80,2404495013,15819333,1064662,140355034,1174129136,297672687,178,9129,30,665990282,568806,22542449,17199384
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,389,77.4,1673557134,15863,14237841,72,,,1500000,104700560,1092175292,,57,112184,20,,,,
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,390,77.3,77212437,4083,13850203,84,7658766,246884,472,301528,1423956,934654,52,238,32,226853,318,1687131,39163
The Girl From Ipanema,Instrumental Bossa Nova,Stan Getz,6/6/2024,391,77.2,,,,,,,,,,,,,,,,,1772770
Te Felicito,Te Felicito,Shakira,4/21/2022,392,77,719593291,74269,37254627,67,719244041,4424400,826261,159735614,2594106000,455293047,98,124848,69,25538867,8165,,2583205
Que Onda,Que Onda - Single,Calle 24,8/30/2023,393,76.9,642548537,36781,21579429,81,227994801,335112,205583,41258724,499670882,92125885,34,1124,34,20174633,7393,,
Stumblin' In,Stumblin' In,CYRIL,11/10/2023,394,76.9,180784576,22208,150873146,83,29260192,247757,91700,2012224,61731912,320584411,91,111796,55,241739,270,1595230,4657449
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,395,76.8,311928522,1668,4447700,23,,,,,,,118,60470,6,,,,
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,9/22/2022,396,76.6,428164381,80340,18339674,68,138760138,1465825,61144,40889470,419346148,99649191,69,469798,42,35931504,11075,,5323336
Desesperados,VICE VERSA,Rauw Alejandro,12/10/2021,397,76.6,1021480638,119558,50631491,78,722946861,3591807,793105,186008455,2153526389,815766418,75,55181,53,61269232,6584,,2591948
"Young Miko: Bzrp Music Sessions, Vol. 58Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,1/10/2024,398,76.6,224033701,20266,25455662,,138348246,2036793,,1407028,22394778,1429170590,23,18177,39,1216700,340,,432783
Sugar,V (Deluxe),Maroon 5,8/29/2014,399,76.6,1838092894,186038,69903249,75,4151880976,16983201,234084,29492228,406531709,1795021430,197,3772,54,761320130,358336,,10029992
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,King of the Dead,Juliï¿½ï¿½n Kh,3/18/2024,454,76.5,564444844,5,20,,,,,,,,,,,,,,
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,ORQUï¿½ï¿½,Kali Uchis,1/12/2024,400,76.3,263568994,17285,38697311,,113081188,1249785,,1411800,11612300,1344542728,46,22110,57,2451926,3216,965916,1017370
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",Abd El Fattah Grini,1/14/2023,402,76.2,1993244,245,79264,28,944088313,6351302,,,,1464736,,368,,,,,28908
Old Town Road - Remix,Old Town Road,Lil Nas X,4/5/2019,404,76.2,1527106099,186252,34012219,68,11512,171,4203166,55379491,478304071,,263,109745,14,114089318,855810,60525149,12855943
Let Me Love You,Encore,DJ Snake,8/5/2016,403,76.2,2147028486,205482,89333146,80,2457588032,18290642,4116973,49564235,528988791,1945612445,239,192774,97,418986672,113233,,15320597
Envolver,Envolver - Single,Anitta,11/11/2021,401,76.2,635241142,77669,44546385,65,836072339,4909216,2101465,699278513,9427647770,1434107266,102,86127,86,19183846,6406,,2534489
Oublie-moi,Oublie-moi,Emkal,9/16/2022,405,76,17992999,11288,327900,42,58383075,502081,7146060,118925740,2858109417,34801360,1,1309,1,,,,1860955
Malohat,Malohat,Xamdam Sobirov,4/20/2024,406,75.9,75486,13,3242,,95889492,442331,,,,,1,,,,,,129586
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,407,75.7,35244286,1629,14912783,75,70452629,1873655,,18636812,90497430,5822984,15,632,40,93561,118,,85957
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,6/22/2023,408,75.6,253464894,22779,10733622,76,191499043,634671,1755500,61572969,708437568,534279807,6,115,10,22214240,5494,,781164
you broke me first,you broke me first,Tate McRae,4/17/2020,409,75.6,1439465700,169076,47204234,77,706284693,7820244,880567,188771287,1383885042,947613259,238,395572,38,175068272,92428,20648981,5808069
Relationship (feat. Future),Beautiful Thugger Girls,Young Thug,6/16/2017,410,75.5,458957128,89812,13215590,61,47166510,482132,28665700,112444345,1069735982,9528686,1,135,,,,,
Beggin',Chosen,Mï¿½ï¿½ne,12/8/2017,413,75.4,1601293263,358760,75186063,79,424132504,4191200,7717647,1765938944,18153723096,1718450782,271,478458,55,63838488,75382,,14404336
Faint,Papercuts,Linkin Park,4/12/2024,412,75.4,670009914,3,81,,,,,,,,,,,,,,1847397
Pretty - Sped Up,Pretty,MEYY,6/7/2023,411,75.4,1867282,498,521031,40,485422,12137,4300000,99212673,1267424672,,,1,1,3897,21,,15462
Hawï¿½,Hawï¿½,Maluma,7/29/2020,415,75.3,1289186767,123303,48973048,73,1464055196,7754280,729784,9309533,131926571,371508169,201,80055,99,105490212,45106,,2387272
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,416,75.3,367399860,29235,106808249,82,104584293,726526,,1146,14800,1109634551,57,42471,30,2176876,1851,1095337,1040348
act ii: date @ 8,act ii: date @ 8,4batz,12/7/2023,414,75.3,153364964,29300,15208678,,32239845,576013,534000,88331091,749015170,34306328,33,48625,1,884939,1670,,1458037
Cradles,Cradles,Sub Urban,1/4/2019,418,75.2,737097685,155765,20317539,68,1098942075,19179674,6010728,735932695,8841517566,56344836,19,23497,7,77491669,121008,42287751,11014789
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,5/4/2019,417,75.2,1927961994,323997,86092004,72,320969468,3572454,399114,47716560,525749281,319370580,387,368034,51,273518696,155662,,28977015
Angel Numbers / Ten Toes,11:11,Chris Brown,11/10/2023,419,75.1,179565178,40225,15526253,75,41976731,479163,273400,36593416,451763725,514925755,54,5615,9,3470078,3794,4120249,2788317
Never Lose Me,Never Lose Me - Single,Flo Milli,11/30/2023,420,75.1,278132516,23580,70573006,,11587186,210504,1200000,201891712,1434396157,381728,39,59,12,3317074,2619,,1075138
Reggaeton Champagne,Kittyponeo,Bellakath,10/5/2023,421,75.1,224429894,17159,11316048,,250897173,2121068,545900,64561650,456323777,911150246,8,1966,28,708120,3499,,921762
MASHA ULTRAFUNK,MASHA ULTRAFUNK,HISTED,3/8/2024,422,74.9,32435333,2141,18509359,76,57665106,1285063,550000,83742600,1059880600,5353152,1,,8,28942,53,,264296
Under The Influence,Indigo (Extended),Chris Brown,10/4/2019,423,74.9,1249760413,202465,56664631,79,699931779,6139127,1107358,252070540,2436202278,257447653,186,456661,39,101759650,81211,17909859,12188959
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,7/17/2020,424,74.8,568230113,142225,16247309,68,531872316,9887683,8041280,1122403923,11938256726,2159219012,46,48336,16,13530275,21169,,4910428
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,425,74.7,212272036,13,76963,,,,,,,,1,,3,110583041,29082,,
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,11/27/2023,426,74.5,121497542,6748,14377499,80,307571207,3994160,,16093695,136260517,2556572213,12,1559,,172783,439,,252875
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,5/23/2024,427,74.5,45287928,2099,98932469,81,17850177,358428,,,,145759995,21,5,9,181048,89,468013,268642
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,12/2/2022,429,74.4,637325281,142076,31958929,79,25776208,246133,12122,7811781,58477615,145379,35,2,10,2184964,4214,16505933,3359877
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,6/10/2022,430,74.4,412845771,59749,11166198,73,215094924,1522549,203904,80427947,777869891,506206031,37,325922,16,260646662,39816,10255088,1315179
obsessed,GUTS (spilled),Olivia Rodrigo,3/22/2024,428,74.4,129968407,6621,69045774,,16165402,604952,,,,156978440,48,75882,70,1952449,3850,346179,
Eyes Closed,Eyes Closed,Imagine Dragons,4/3/2024,431,74.2,51224852,5159,33795310,,30060301,670497,,,,209984783,43,47932,82,8536936,1263,,576192
Wanna Be,Wanna Be (Alternate Versions),GloRilla,4/3/2024,433,74.1,66836198,4228,57383746,77,43174948,552134,,,,130569102,37,6174,22,16660021,5363,2437483,269767
Don't Let Me Down,Pop Party,The Chainsmokers,1/1/2016,432,74.1,1888829482,206507,80884955,76,2813990127,18577555,1564955,439675389,6097870496,366325473,4,126648,55,768352230,344561,,
DDU-DU DDU-DU,SQUARE UP,BLACKPINK,6/15/2018,434,74,701726499,51129,14859569,65,3435321800,41630558,798667,73741892,683794564,265722945,55,3420,17,13315881,51227,,1916314
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,11/18/2020,435,73.9,1151629030,201783,55679157,77,456651608,6111089,1448920,467181048,3401301248,244384379,164,173512,60,53202036,41954,18082840,6239619
Wake Me Up,TRUE,Avicii,1/1/2013,436,73.7,2325017580,347004,112575684,81,3214634614,17924466,349966,33433988,360378218,351953763,302,358498,87,311299334,837891,,28653448
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,10/6/2023,437,73.6,232417498,20983,96389865,80,59799293,367721,38115,1152032,61820477,1975097262,60,191891,40,3871,26,,3273690
Chulo pt.2,Chulopt2,Bad Gyal,6/22/2023,438,73.6,318567928,42351,29908589,69,313180496,1792729,263600,102425830,797526303,511333068,43,16430,45,2065718,1938,937320,857885
All Girls Are The Same,All Girls Are The Same,Juice WRLD,4/13/2018,439,73.5,1615353665,219797,40289611,76,130721152,1378012,329183,40216565,294545167,32,37,610,2,95930512,146577,229990892,3146346
Push Up - Main Edit,Push Up - Single,Creeds,3/31/2023,441,73.4,274229438,81319,88956153,77,22545691,353908,2001804,84624881,1182280724,,31,7748,26,471372,925,2972813,986887
Kings & Queens,Kings & Queens,Ava Max,3/12/2020,440,73.4,955439608,130031,24897061,73,627987518,6208902,2483437,192674077,2036664297,2083362305,175,668145,40,154195791,77421,,8517243
Adore You,Adore You,Harry Styles,12/6/2019,442,73.2,1670164200,171120,93127826,78,721445001,8290855,381926,125662413,805399161,1840306341,254,811625,59,137719148,80750,,6307292
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,10/4/2019,443,73.2,1625149693,304394,58905241,78,925241514,9308268,164816,74049746,713021988,179905608,211,83260,58,184172216,79322,,4613459
